ticker,era,exec_score,score_profitability,score_health,score_market,score_efficiency
MDLZ,saligram_era,0.20684315507363185,0.18709925559268872,0.05024129982217069,0.4664258123020024,
MMM,post_2022,-0.18955081946390065,-0.3596549999730195,-0.11763458594496272,0.3933884025404409,-0.5720974967809808
MMM,pre_polk_exit,-0.19225240450733488,0.7476975519371482,-1.1257906440360916,0.775126030539946,-0.7858592215551347
MMM,saligram_era,-0.11560566451032524,-0.08070796944906798,-0.4369697021447908,-0.30011188426741714,0.3827384613954497
NWL,post_2022,-0.23448288313925933,-0.4267069218463757,-0.3173369672266148,-0.11063153633962626,-0.041915020967022903
NWL,pre_polk_exit,-0.2884427994290851,-0.4441378611413595,-0.759957321435751,0.7390472967132805,-0.3889223882227039
NWL,saligram_era,0.38476544142272084,0.7497059526905385,0.1104762191704239,0.06385779780122464,0.6056981117548564
PEP,post_2022,-0.02896344584748342,0.2646471344584572,0.1153538856495299,-0.6124526684754291,
PEP,pre_polk_exit,6.425290702038001e-05,0.06589778069970267,-0.10142941073399624,0.07001283862769238,
PEP,saligram_era,0.1143912514921567,0.28331664395117173,-0.18810261428162264,0.356975309579057,
PG,post_2022,-0.015961718833269092,0.39994598618156285,-0.4696870904486565,0.14474170732127203,
PG,pre_polk_exit,-0.07044765289316694,-0.26317632320797196,-0.24176472694106446,0.42743879607218555,
PG,saligram_era,0.4187649249227658,0.6762664379795038,0.13711876651580818,0.5193572712122797,
REYN,post_2022,0.11063116677643241,0.11756133334615093,0.408106770664987,-0.22360726213232515,0.014121018667454363
REYN,saligram_era,-0.05406296619199286,-0.12577635349919944,0.4249858229701483,0.07914179537321565,-0.6637719351315224
RH,post_2022,-0.4385835480055844,-0.9765821820831073,-0.8167981731602518,0.49734305065414763,-0.19546864267024636
RH,pre_polk_exit,0.7826237364827631,1.2044106662142708,0.24186233210093286,0.6916550405262488,1.0825254487746632
RH,saligram_era,0.08879579629690182,0.3742013869183116,0.028684396117129217,0.019995909011746426,-0.06943620428065646
SN,pre_polk_exit,0.79208331329779,1.396554584104857,0.36773487281061973,0.6730168855197121,
W,post_2022,0.013104411327503502,0.41133687872898794,-0.008118341632841081,-0.4528520434838352,
W,pre_polk_exit,0.23544250384571697,-0.3106906754692435,0.06096657688775869,1.1798228684263548,
W,saligram_era,0.016928763394296494,0.10347902061009133,-0.28724395758539567,0.36500002334409126,
WHR,post_2022,-0.29811012348681404,-0.47708792987839105,-0.6395747052278389,0.3159848841537736,-0.20065082511847732
WHR,pre_polk_exit,0.06021794248124039,1.011091707940025,-1.0959187400102517,0.9997504476052638,-0.2549178080869727
WHR,saligram_era,0.11357276868537625,0.36403955538889515,-0.20259670300036706,-0.022947212991356377,0.35172533334613537
WSM,post_2022,-0.06525332861312323,-0.6547282837881805,0.41746170789157516,0.443413429110807,-0.4619698234228482
WSM,pre_polk_exit,-0.18061665187234455,-0.19298501959053252,-0.8304283568511363,1.1064319867724233,-0.4181131490954209
WSM,saligram_era,0.16875508689711954,0.4812971001138755,-0.17532845194222615,0.3236623473625192,0.1451875119152586
